Слово;Частота;Частота (в %)
6Fh;1;0.00954654%
6KNKJAyNciwfL9BNVYcS0fUlixvZ;1;0.00954654%
6Kzhz4cxGwrO6Da3UU0a3K9oOXYjYVp4xcKoCRoqjwGKzmkmXFtozNrBJpfEZ97fnS49dhmthgAYGMVnOL0kk08TmFu0hPNkeVWGgalFfaZDLz97HK3xFKdySkONJ0DWLpdJtZdQdGaGLeTl6hfE;1;0.00954654%
6L3PUf;1;0.00954654%
6MDmr6jTSU4n5ZqsU8WTtmqZsuG7ho7Plk2duprM69;1;0.00954654%
6MowznbNStOuQ8eWqDrsnIwMhAXI3rP3Oti0mCRd;1;0.00954654%
6NayQRd5o9Qt3z05ldWqLP7syYlt4nOftwzEn;1;0.00954654%
6P1zr;1;0.00954654%
6QrRcHapbW7AXNxCijqWcAffXrSz41Ck0fJPQ6qeTu7H9mZvjrP91l;1;0.00954654%
6SZSlSI;1;0.00954654%
6Tq6p7edWROGNTqK4u;1;0.00954654%
6W8L;1;0.00954654%
6XfhnNIaRUGx;1;0.00954654%
6Z5dRIjZVIHj4bVpNa5lte;1;0.00954654%
6aGu3;1;0.00954654%
6ajrJuf0pJI8v6q0pGLbGjpqFsByBjqT4;1;0.00954654%
6c9a9Y6QCNLtRjGIUGP9EV5f0KRE1VFXLK6lN;1;0.00954654%
6cf0PVzxU8coR5PmnSqOWOSKV4pUZJEYq6kYKkbEGkV;1;0.00954654%
6e4ji01ribkJVYG7MRnH2mPTby8af0jRLaGIPcMstw2CCfsqBnIx;1;0.00954654%
6eW7eJ5RHsgUZqZxbrkXZJZ2DNI7YDctMaKkvOirpwVR9qRhuTTjGtwbJel6nq9;1;0.00954654%
6gmjWv61w;1;0.00954654%
6hL7QLYgBIZsDfDIpwfr6VndGsyIkMiLzBCcFdxudq1NrZ201py9muEfJxttsKfakFlVc8YWsruqmYRsNwI1UHfO45uufGrDQOLLGCG4IvI4ASq8swbmYYOccoI;1;0.00954654%
6hi2e9GxJOMZ8qbstci1XVbeCGVprqaREjUhgGOfE42;1;0.00954654%
6i1GGMJJLZb7;1;0.00954654%
6i4bWYW09IotNQ3vQ3CYXC4I5QoGB169TQqhTmZgFI2oUdzDsRvrSyXto4hgc2wrS2ujJbiOWQhj161R8O32l6pEmLkQ3QkXCNt41ptbt7qwtrh;1;0.00954654%
6ibAyfg6oB;1;0.00954654%
6juOeGVEKJzBUXJHj0zVkYD2UU2AVyXxjzwT;1;0.00954654%
6kXaLAsM;1;0.00954654%
6kkGxeye0LS5bO0t;1;0.00954654%
6l2Qk7r5dKkmW41lIrOBmEYG5B2FXmj6bPpMK3KossYPK;1;0.00954654%
6m2hugMm3mA9UNbROeUie95lccw;1;0.00954654%
6mAcY7KGQFScry;1;0.00954654%
6mNYkLgb5G4rPe0DRore7kV1;1;0.00954654%
6mWtUW5ikW4IU5aMAkKG2DY;1;0.00954654%
6mddjWWKNlJ5DkZK;1;0.00954654%
6nL9Ryh06NToV;1;0.00954654%
6nPjVFbTNNfSWc;1;0.00954654%
6nRocHjfJ9f6qpJkOSKntv7ZodsPDI;1;0.00954654%
6nYUP6Qtl7zdxXCcueVFXnLcijOSW8c4zt5VH4hlZoFgjKxhf8UZxuTv4E7D76LR47jnnSPIVpFDvgbBckn6E0;1;0.00954654%
6oCs0acnMxUnJGcb0UUnYocwXmztjfNNy8pG2RR5UHIfPypdxKrLhVAyoGBnr57mixJbjkRRlyFcnyHjTsrQkHKqXC4A8OnWoavyjlA7hI670RkPp5UXYu0cLlVKgYx9rI;1;0.00954654%
6oE13HnYKx;1;0.00954654%
6oU0gt54XABKlnAU84KkHy6jBO9ZmPTtfhfkgilCg5VXZdhjPQ7U;1;0.00954654%
6odraBYUXKAl;1;0.00954654%
6ozxXP;1;0.00954654%
6pVAA;1;0.00954654%
6peqosc8cjgjIDbbYz4fIg0L5AssMjd44ywKgg46fEdfpTENcL20isUY7W85zlcjpjw;1;0.00954654%
6ph4ntLHWEuvcJ;1;0.00954654%
6piDRMkt4Mp2AUKhON;1;0.00954654%
6pkSLDdGRCS;1;0.00954654%
6plqqNIjMDlcL0wcAY;1;0.00954654%
6q;1;0.00954654%
6qgzArjGPhtTfaAHYn60dwdhaXYZo2HPbk4;1;0.00954654%
6qnXA36da4Hpmp3N;1;0.00954654%
6rK6kAOUFvDnqy;1;0.00954654%
6rWSyhk4k06FAGIW5kYHoAqAAD5tTllaIlq6RqV7zAADGelZPJsdMcW4cYBu1fkBAkQtjYEAKPwFHYSBZ4wsXe5h3h1xnb9lTrW3Bv5ggHJkAYPTIUZ;1;0.00954654%
6t;1;0.00954654%
6ttHtrkTSoiorcoLbk42ArE8N3MdlrthdTNyxxTqWbyGdzXmdZyReohvw;1;0.00954654%
6u3GeZmZDe8AP2Qfmf30zJeZ8CPmafm0m6Vc8yn4A002j3f8ZD8K64JnnZGR2u85G9MSXO2dx61M;1;0.00954654%
6uDL1LS4Z9k57nVDSZci7ox2PMFAb1vvat7J;1;0.00954654%
6uU8ecLjh3VbOxu2WUTRB0liGGOfP1Fa46;1;0.00954654%
6uaba8jrgl6mc7AL1z86dRFB6D760dxdWFxayRJcX8YYbK0vOPnsPwqnETBRhkkHkwrnk7OyEaY3EqDGQPqalwrGR4fWkw8yHITr4bVIRiN;1;0.00954654%
6ujo2OMcEZJbtHF7Z6vNk6nkhJtxi9ley28lwXmjduyBJ1gI8w5U;1;0.00954654%
6uyCPOyuyFLdEbcsf8AqjP1qJNd4PgPmR;1;0.00954654%
6xeuPCmOP4pdC0ySa1mOMdlOPFw3WksiukS4vlnE5XblIb7RJzSogQgxSHIMhIBwzHr5U6NgAK3QjrfsTtez065u3uJEDHAVTjNax4Q3EdnFdPM;1;0.00954654%
6yGh78D4LS4eTsMIoMhB5dqqtBaSVnNyxeSN8YNTrW6kV;1;0.00954654%
6yXBkk38e9kD0ArmzyqNLlnVpoXPufCOX;1;0.00954654%
700;1;0.00954654%
71YPwoeNFD8SRrNT1zhq;1;0.00954654%
71Z;1;0.00954654%
73QHcmXw38G8x;1;0.00954654%
76RoupWMQP2Le1hjB;1;0.00954654%
76fhjt7vTRGZUWRQcqxx9K;1;0.00954654%
776EyWiJa2hdZmIw2CQAdum4qblUhw5Vu;1;0.00954654%
79BTLSnPQfSrthachBt06eGKiiO3LYER;1;0.00954654%
7DuFvZxq0mtWt3e6pqjRGKOe65QsKt9rkVRsT0JJJxkDGTnT;1;0.00954654%
7ErTDOOCbSJBgCNmJ;1;0.00954654%
7FSahpkGIzbJN5yEtlj9f2VO0fUDCtxJJZkl;1;0.00954654%
7Gla4rdjnEU1aSSnxyQn2;1;0.00954654%
7Hb8M1Fk7xJqXpeni8kbtACioSc7b;1;0.00954654%
7HbKSw4DtBIpVp5ZJwP8AFLYX7gD86xvAXAGoX1vHLeRSWdkxBkdhytIPJR6;1;0.00954654%
7I8a84;1;0.00954654%
7MPYHxR7QOEYeJdL1jRbW2mlkiWO5aUOCjYJPKhH31ln1GPBHuyOkXjxzyPtirOSg0ea1ftW4C1T2ccUJw9q95Z3dw9qlyJLUuU5WZgB3lBz3T4U17L;1;0.00954654%
7NFWFib3irTJ7livbiJpCQOQZ5c7D8frW;1;0.00954654%
7NePqFeVm6Tps0;1;0.00954654%
7OyZH2euK0i02JqhzQtcjkjNpesAeQqrH4ViNVjW3vmaM91yMYNWVtpyvDNI7NzocZqr16F7GaKJnLjZvrWiSTJs6Ppl22n8OxNnMso7orP8ThbaCOaZue4dg2PGotvrUl0YOVebsk2UDpiplppFxrrm5lkIboFz0qUqdsfIzdTXeqxWMLHCAYIH0rpunxCCzjiAwFUCuVWpvdN4lSzfflbC;1;0.00954654%
7POc;1;0.00954654%
7PTP8A7vd;1;0.00954654%
7PYf;1;0.00954654%
7PdbThvjzQeIJQTFp;1;0.00954654%
7Q9k7eAFQJZ;1;0.00954654%
7RbwabaPcdh;1;0.00954654%
7RoOH7GWz4MsrGYASR2qq2POhVzIuUK;1;0.00954654%
7V7cWvMK01y51G4WEgLGTsgPWrmymFreJM8EU4Q7xyjKt8axWj3VnaXEjzmVsHljCYx6k1qLe8iu8MhIOOh611dZ0sl258fMTzfYfqeKTydM1HwTTq;1;0.00954654%
7Vck2mknnjlYAjALK;1;0.00954654%
7W804YuZVWMZwftOAf201cK3uHebkXOeTZe6W2B8;1;0.00954654%
7WE80WqOmOmnycv1DU4Vl7NXwaZjuYkzI7ZPgK3;1;0.00954654%
7ZKuzZ;1;0.00954654%
7aL2LitwaY1odSgN;1;0.00954654%
7ab8ErjmMjatcPwIjP8bOh2;1;0.00954654%
7ajJazMVWWMtGwO2NwfHyNO3OlGexdRJ;1;0.00954654%
7kEdtjbLHFKtCIrUOdvE1Dve9NHGT8aPWJ;1;0.00954654%
7lWv5FVASeVCSDkjAGepxRLw3eq0gGoMjR8uRykdRn;1;0.00954654%
7tL9f2PZn;1;0.00954654%
7v;1;0.00954654%
7xBp6WztCpaRlVgiY36kjcAeAqDp6LYa5Z3F3N2pJPau4GE7ucj4UfUBfNxc0kmVaAyRgnuK7BcbbBcjp5VH0zRYGtZll1WKMr3;1;0.00954654%
7xrCX9hZx2kqxW4Z8KqsB4kio8OiTO5xOVHLzbb1L3NYxNxc8R6YYUhS;1;0.00954654%
7yMdxXt;1;0.00954654%
7zUj;1;0.00954654%
806jjryisZM6YDig;1;0.00954654%
81Qi2hWEyAhex7Id2IS8wGTkDmPXH7Ko9UMlxqXPiPvbHOc5O567Cri2jntw0silEiUkqRhieij76aNvEtpzBOcqeUOxyDuRnA;1;0.00954654%
81fTJpBHfdrDCe8FhQNzD1OfjUJ;1;0.00954654%
828kSZH6SJS6sPpkbZ60;1;0.00954654%
82F7JaLOZUfcDNY;1;0.00954654%
83evmof8ABn4V9Q723sNe0Ge1kZbnT9StWjZkbIkhkQjIPkVbr615ZsvyS9SXihRe8U2EnD6ygsUjcXUkefs8uOVSRtzcx88eFfK9H1mLSwyRyumexrcEs0ouCs7;1;0.00954654%
84;1;0.00954654%
85GfoaOeYCQwKcFyQMeC9D9wNU0E3ZujZ2BqSjiWeaYEKpU5PkD4VXcR20XOjz4t;1;0.00954654%
86U5R4xllz9r4USr6MSHb;1;0.00954654%
8A;1;0.00954654%
8A1N1IHb9AR9SBXfrsUZ4ZOSTpM;1;0.00954654%
8A4fof4TB7UdLlqIxUc8Oa2vz3;1;0.00954654%
8A6if71eUOHkma9BgOGFbRLjWLfvMnMq;1;0.00954654%
8A6qv9VuY4ZMyOAOvxrM8F3CW8d47;1;0.00954654%
8A7SeF;1;0.00954654%
8A8cf;1;0.00954654%
8ACdly4wpz9g1nfyC;1;0.00954654%
8ADP7qS8d0pw0E6nxyhpOBqsxetqDY2I288UltQYruyj;1;0.00954654%
8AFrX;1;0.00954654%
8AG;1;0.00954654%
8AGUzvfaTMbftCYjvyZ7jj4edTbiGzvbRbq0GDjEiHqh;1;0.00954654%
8AGmBPLEi;1;0.00954654%
8AJau8ezDSvzH7POG9HK8rWmmW8Tj;1;0.00954654%
8AJpLWZmqchVCioV6JxUChQoUDo677CPbU;1;0.00954654%
8AK71aS3ZbDgawt5v1Xn1F5lHxVUQn615joV5y6NpF;1;0.00954654%
8ALG;1;0.00954654%
8AMt;1;0.00954654%
8AN3r5rL0rwfZz4J;1;0.00954654%
8AO125iK;1;0.00954654%
8AQ5;1;0.00954654%
8AQVafkFf9EuKP84Q;1;0.00954654%
8AR5w4M598x;1;0.00954654%
8AVolOWlJ6YA;1;0.00954654%
8AaAv;1;0.00954654%
8Aat8mNWFlLCJF7W3tnAHTlZfwNHci1lYskPY5J7ow4A8Nzv8AhWE0zrhL5kEXkjDdvvpa3Tnxp;1;0.00954654%
8AbYYV;1;0.00954654%
8AjB;1;0.00954654%
8AkM;1;0.00954654%
8Al0P;1;0.00954654%
8Al1yf6tpP5kb;1;0.00954654%
8AlDagzaNHpELYB;1;0.00954654%
8AnB;1;0.00954654%
8AuJK0ULTbMoSqcUvU9V607DR79gd;1;0.00954654%
8AxS;1;0.00954654%
8Ay;1;0.00954654%
8AyeP99YvxoUULxGbiHizRIcmCwmjJ68kSL;1;0.00954654%
8B8a5ch34UOxImP1f9apdvDGzqvOq822SdhUaM;1;0.00954654%
8CSryRShJozw34kfqe1mx7hcD;1;0.00954654%
8CjurcT28c1w8jcjGKYqDjYDAO;1;0.00954654%
8Dg7U4J;1;0.00954654%
8Eim9Rv4b5ovdoRJyKCVxuXP7vxoTHRVvMlw6;1;0.00954654%
8Hh;1;0.00954654%
8IN16JskPZIRnBGKz;1;0.00954654%
8K3jlnLZxa;1;0.00954654%
8KVCoAuSdiQzE;1;0.00954654%
8KutJs9Jkimkviqcq5HrWce4VQSB08aatpLi9m3YrGtJoBVzpdxf3MiWseUU5A9KlS6NqdpaJJLZjsyvUCtTwZCr3gjRd;1;0.00954654%
8MQc7;1;0.00954654%
8Nq61qEaz2s0LvyLJGyM3kCMZrlkqe56GB3BnkLTLa8nczwkheopvV1uGci5Ic;1;0.00954654%
8NwCrcgRWHMrBhknC;1;0.00954654%
8QAHQAAAAcBAQEAAAAAAAAAAAAAAAECAwQFBgcICf;1;0.00954654%
8Sf8A8uh;1;0.00954654%
8T86vTb6cxJNrIBjzG30ao81lpwPNzOox05W;1;0.00954654%
8VC7NZ9SZ1Dcib9p4AE7Z;1;0.00954654%
8VFz0FRNVlZ4;1;0.00954654%
8W8nxAJI;1;0.00954654%
8X;1;0.00954654%
8XDf;1;0.00954654%
8Y;1;0.00954654%
8bHxNKg7hltvGjjJVwQcfKliLm6MPmaNI1Bw4z6g1I7RdaFdFG7MurAnPl12;1;0.00954654%
8cKj1p;1;0.00954654%
8ivncetez7PZJT07i;1;0.00954654%
8muQe3H2lze1HiWy1mTSF0lbSyFqsC3PbZPaO5fm5V68wGMfq9d67tAuoeIvH;1;0.00954654%
8mvLdHn0ri;1;0.00954654%
8mvLtEetcf;1;0.00954654%
8pP;1;0.00954654%
8s;1;0.00954654%
8sb;1;0.00954654%
8uowBGpHzrsPB5K;1;0.00954654%
8vIQOztVUv57nAx;1;0.00954654%
8vPfyHHUTjDsT2BQPShRGu0wO1exv8oXiXgHTItCv7OPXtFh2giklMc1uv8VHwRy;1;0.00954654%
8x6U8mVwckMPLwqmrVDi6dndfyxdaNxxXo3D6P3bC0a4lH;1;0.00954654%
8zqO7vvVVeQ2wTuzwsfSQGtHbSJBw07xsp7vUHNR48MiqLsMuizYF3ZINL5poq7pTq;1;0.00954654%
902qu5L6ZK6gHIV2HXxyBS7GM115O0ccErzKZoz2csRHTfI3HwIohqjW1oJWjk7F1Ku;1;0.00954654%
93bY;1;0.00954654%
94yBsVzWW4tkabWbS3TOSQSK11unJAinwUU5v3UTFbsU2EQsfCk2zl05j0pm;1;0.00954654%
95aRq0faz84;1;0.00954654%
9696jvrlrldhMZWLgdNmznoTTU99d3dnKlzfXc5dQsnPMzcwByAcncAk1IREK8i7k9ciospSzykgG;1;0.00954654%
970jUJ7SQ4DNGftL5EdD867mfaHx7wrpEGpcSaHaarpUqI6ahaPyq6tjlJI6ZyOqivPElzMZQkZLnpXV;1;0.00954654%
98OXSAZIXP0qP7PrgT8N25Zt17vWun;1;0.00954654%
99;1;0.00954654%
99L;1;0.00954654%
9BXyMP;1;0.00954654%
9G1fOH2Y;1;0.00954654%
9GaWz1cMVnbsrWUjujLb48q6ca2OaRX8F63rOiQXUemz3cTA7xAc8L;1;0.00954654%
9Gl83T4NN7RNMaK4LW49ax1vrN5HF7sGOWOOtdF1W7jub2QCSOaNlPKysGHT0rm2qRCDW;1;0.00954654%
9HbblByV;1;0.00954654%
9S4lLXbCWQQrIGdGRs79R;1;0.00954654%
9TLdyjKwA5lORtXFkPUwompZxggdvESfLen47PIJEkX1P7qkR3YcZeV8HwHSnoxAe93dvHIz9xrjmeljQLG1leF1iXnZd;1;0.00954654%
9U;1;0.00954654%
9UxNH0jGUinfH9t;1;0.00954654%
9V93fGCIs4xgb1XpdPqT9nGP0XiahYINcKi3ll5MtLHV9QaN4oLu5ETZyiysFOeu2cVJae9khSKaeZ40;1;0.00954654%
9VLLli;1;0.00954654%
9Vrx;1;0.00954654%
9WEkzqg0ZtZjnZmHwJp9biQn7bfM1pYdO0xcf3kC3;1;0.00954654%
9WPE2IVWZBg461aYGemyt9yvvg;1;0.00954654%
9XNvy3f4Y7X;1;0.00954654%
9XulWOoowWE8ox1o72eKSJGi6ZFaTSnjNmhX7XjSlJpDSsg;1;0.00954654%
9ZNWH;1;0.00954654%
9aTvYXDAblJBzxk;1;0.00954654%
9e1LVNUdcpYaS4U;1;0.00954654%
9hvtGX2Y8WXPEH5jXWJJbJrVI2uuw7PmdGLZ5Gz9jGMeNYA9aFehPFGcHCW6Zzwm4S7lydw9tP5Qdz7R;1;0.00954654%
9io;1;0.00954654%
9j;1;0.00954654%
9j7njCN5Im7kjID1waXP2TqG5uY;1;0.00954654%
9mvYkMUs7mSRMY5H8cehrd6xbS8Pa80V0cQzj9FcEbMjdA3ywKp;1;0.00954654%
9nsP;1;0.00954654%
9oADAMBAAIRAxEAPwDQTuASue95VClPXPWs;1;0.00954654%
9oWm6L9q100e93I8C36oNadq7rXHJF;1;0.00954654%
9p3u;1;0.00954654%
9r3v;1;0.00954654%
9rzET6xfLLNE17ckz7SZlbv4GO9vvttvUiyv7y3tOwivLiONs5RZSF367A4rPTSF9QDb8tWDS7hQat4YVVELJK7sml8;1;0.00954654%
9tobV3P6sURdlUfEuSfPA8q4Z;1;0.00954654%
9yFwUP8An;1;0.00954654%
9yLh;1;0.00954654%
A05ccYaQpGLiFsA4KsQME53wP7eVU93xJYGP3ZLuBYVPMqrzMAfjy9ev1q1ZDRfyRWrSKVLZkBCYO;1;0.00954654%
A0eRI5eWxtDbxcokZVcjIz3uZfXyJpq8bsbkMzI2RykbDGH328M79fI1odQhWC5tpWEMUkkXdPN0bIJ;1;0.00954654%
A1gklkZZC8eXd;1;0.00954654%
A1ze71W5uVaJ9McqwYhckhTjGRtt4VVwWUrKMSuudmyvQ;1;0.00954654%
A2y;1;0.00954654%
A3OwphOV7VYySMopO2DnqfqaErC2REl1qZF5tWlxjHL2Yx;1;0.00954654%
A61nTql1eyrAplWxlkOZMY7xySq;1;0.00954654%
A7fOor;1;0.00954654%
A8gPgKy8mi26pzBTjOMhifAnz9Kbm0q3ig70RaTAJPOcEnbHWooLiaWTiaxBieGe3SQABWDMSox03GKbj1;1;0.00954654%
A8xItex7MKwA;1;0.00954654%
A9Uig08WjIAQxyxwDvuKqTckgKCpX02P;1;0.00954654%
AAGWX;1;0.00954654%
AApszHO21ZNG0ZFsk0XMMxBvnn8atrWS0Zcm2Tw2C4P3CstHMwOQcGpsN1IBtK;1;0.00954654%
AApxBjOmRhI0Zhsdx;1;0.00954654%
AAsfL8VB;1;0.00954654%
AAufxFKN3kD;1;0.00954654%
AB8axd1b80SKW5HWHoNyCB;1;0.00954654%
ABEbETyRmLugkHG1aPUNF1nEgl1RnOMgbiiUEnyCk6NFBPDPOnM;1;0.00954654%
ABFagQZDEb9a0L6xorKANY03;1;0.00954654%
ABRQ06EvyAHPNsPjVAKvr17iKzuTDHJIXIdEJyDynI6VX3OqNGT;1;0.00954654%
ABRiqaYJobW5GegPxWnkuP8AFWpMWnWJI5pLj5AH91S4dM00nd73;1;0.00954654%
ABVP3bVl0u4yTkOT5lt6eS7BYcrOB;1;0.00954654%
ABdOOf6St1mh6nL4E;1;0.00954654%
ABgB;1;0.00954654%
ABsVVzQJb3QHVGHnVpiJ2i6iLqLsnOG6CpN;1;0.00954654%
ABxGvN9;1;0.00954654%
AByAAG;1;0.00954654%
ABz;1;0.00954654%
AC;1;0.00954654%
ACG6;1;0.00954654%
ACR1J;1;0.00954654%
ACpyaAmf;1;0.00954654%
ACvrj;1;0.00954654%
AD;1;0.00954654%
ADFQzWLLRblR;1;0.00954654%
ADPcfzDXznFeL7N;1;0.00954654%
ADl7pEue1;1;0.00954654%
ADxTEbwQM8JweV1ZypwM4HXw2;1;0.00954654%
ADyz5laqp7ZmjTMRPKMsTtyEEjr59KaYFLa6XKsTc91PHJyswCscDbOPmKF1pU6xyOt3K8iZABkO;1;0.00954654%
ADzaf0yV9GuK;1;0.00954654%
AE0nXuCmdMjREKndh4mpvWpezGt0VHEGixahYkAfp03RvXyqPwjqbTxtp9ztcQbYPiBWg3FZLiy1k07UItatBgBsSgVcH3LtZMl2u0aLVdPtNSs2tryJZEYeI6UKVpt5FfWkdxCwIYb4PQ;1;0.00954654%
AE4wwHyqDq;1;0.00954654%
AE67Bx;1;0.00954654%
AEG9Gz2FzjP6v7agXbiKcOFywNWXDbwmWWCWRU7TlwScdM;1;0.00954654%
AES4n;1;0.00954654%
AEktdm;1;0.00954654%
AEsW25x1X5j78Vxr3WehP;1;0.00954654%
AEyFAF6Hoa0nsk07hC8vb08W3E9umE90aINgnLc2cKfStb7Y2zGMe50Y;1;0.00954654%
AF1mtauIrvVby5hz2csrMvMMHBNbLS47aSU81hasq;1;0.00954654%
AF4ri;1;0.00954654%
AF5;1;0.00954654%
AFIiVHnWTJBACk464HX8KtPYljVlplg8ciyWMOc7ERAnbBIG252;1;0.00954654%
AFPT75PzkzXse;1;0.00954654%
AFTXhbTeC;1;0.00954654%
AFUjVW1TUiqoHJZFxgKM7D5DFcn1y4hYsGQ83kvU15XS9DCblmcVu9vkj7D2n69qIxx6GM37sUpP1bW6b;1;0.00954654%
AFZZH2x7TXBDulZyj23RpxNrsltbvh9MHZoQejdW;1;0.00954654%
AFctYqaVHtYwoLzL3QgGSflXUOBLP8w8Pzatq6djcOmSh6ongv8AKJ8PhSnwXhVyM;1;0.00954654%
AFf2Vz214jsUaQyW9wOcY7hH9vSpDcYRbckU4OOhI29Ou4;1;0.00954654%
AFiQeO4FNwXMRb9Kbot4ct4v7TU;1;0.00954654%
AFjfWm;1;0.00954654%
AFq91;1;0.00954654%
AFsTckgI3BB8a5pYa1q9zdCS8lN8IWwz9HX4;1;0.00954654%
AG;1;0.00954654%
AG9Kg38UraooMeF7FcEDbGBvV9IlotqqHDhSF26uRsPuxS9dtohqUclqcwtDtlMY2FbQkcs4lEC6QIuMAMfUZA8;1;0.00954654%
AGNYKRp2ldO6skdx2DKoYgODt58p336qflSLOZZYORTlu1Zy;1;0.00954654%
AGPs;1;0.00954654%
AGVcXRlFlFBagEhCXI6EkkDrtsD1qPDaxW;1;0.00954654%
AGdt9kftR4Z9pdldT6H71b3VmV95tLpAsiBs8rDBIZTgjIPhuBtXFPy4eC7OG20vjyygWK4muBYX5UY7UlGaJz6gIy58uUeArMfkLu;1;0.00954654%
AGyvdpwJdNZytHh17Tl6lM7ipirkinwZ72W6tLptkj6jKTFf5mV26Kc4;1;0.00954654%
AH1mtMlWfUreNFaRFkDvgdVByR91bI6xarBLh3LSdS;1;0.00954654%
AH68xrvvWw4C4Nu9fulllUx2qkEkj7VayxQirZgs836fY9F8Oe0T2Z61HJNaezyYRqM8zaRagH;1;0.00954654%
AHMNttgKbVgos6NpGpBbWe0u0cHtu6efIA5xjby;1;0.00954654%
AHNULhQ1MWJfFy;1;0.00954654%
AHQaXqV;1;0.00954654%
AHU813o8en8rajYs8YPKO0UltsY2PQUNjorVt;1;0.00954654%
AHq6II48jZWm8kH;1;0.00954654%
AHqUvFXE6MGTiXWlI6Yv5f8Aeq04t4fWBffLc5jO9ZOu2KjJWjzm5LzPQ35OXHur63eXnD2u3j3sscPvFrPKcyYBCshPj1BGd;1;0.00954654%
AHqYh4Fs7VM1WN9PvLfUBHzR9qvaoNtx;1;0.00954654%
AHqxf5TmonTPYRxTMGw01slqPXtZEjP3Ma;1;0.00954654%
AHqzaZtCSIMc;1;0.00954654%
AHzqLqEBb2oXt1Mp91sp;1;0.00954654%
AI1MtXaLUIpE;1;0.00954654%
AI9L0;1;0.00954654%
AIHP;1;0.00954654%
AIPEBNdC;1;0.00954654%
AIVYYjtrEEq3OoVl5Sccxzn9tIQ9oSrKMsASPUDb9tM0FWkbKU6DoMffV;1;0.00954654%
AIetdThRWjuYwWXr2bjZl;1;0.00954654%
AIrRez3U;1;0.00954654%
AIx;1;0.00954654%
AIx4cvuDtTs7TVbeW4lgKxxgNljkelchiUNwVPz7hdVgPUjP6Gbyrs0zcV;1;0.00954654%
AJ3uBjKxDkA5idvL7qzbo1jEg2a9kjg7Ow5MHGCCN;1;0.00954654%
AJ4tP6ZK;1;0.00954654%
AJND;1;0.00954654%
AJNR7;1;0.00954654%
AJV9j1v;1;0.00954654%
AJprhPsDtZbjiKGePLRWsLtK3gCy8oH3;1;0.00954654%
AJtLQ9V02LBCEpU0vRj1OkzTyylGOzPLdCtV7WeEDwF7QdT4SOoDUDYdj;1;0.00954654%
AJvJXzXbdCPSvlOk6HFrI5JZVbPY1uolhcYw2Pptxnw7p;1;0.00954654%
AJxvFJxzMJ2BbHTO;1;0.00954654%
AK;1;0.00954654%
AKK892P5WOhz8SpaXPCtzbaK83J7;1;0.00954654%
AKKQDduTKkeTA;1;0.00954654%
AKVNWQMeVtEkJHgcTw4;1;0.00954654%
AKVZZXcKN9N8Zk;1;0.00954654%
AKaGu7cdlDwTrQk;1;0.00954654%
AKealj;1;0.00954654%
AKkRl;1;0.00954654%
AKuS4jb781AjtLC1mhhn1a1vIUPdAnXlH0Ncb12KXE0d3;1;0.00954654%
AL5Vm736MFhtjOMU;1;0.00954654%
ALMj;1;0.00954654%
ALONej0nWJHvl94t2QrNAw3cHGSD15hgGtLrYhruVlxrUEWruba70uayubRGj7JRzKg8Cp6gDyO256UK21zp8V7CmsaRfNLCg5orhRzSRL;1;0.00954654%
ALSbWKWGG5gljbDYJHUD1r6nTvuilJcn5Zq4LHmlGLtJs1cstneyx39lcKA;1;0.00954654%
ALqa7;1;0.00954654%
ALxh;1;0.00954654%
AM3P;1;0.00954654%
AM5;1;0.00954654%
AM7Q;1;0.00954654%
AM82n9MlfR3iv;1;0.00954654%
AMFfF3;1;0.00954654%
AMG14AsFtIEmdO8wrYtKnKd98VUxAIIoo1;1;0.00954654%
AMKzumydndSxAArMvKfTxrSL2M2iZaQusjqQAUkySPjVxYQz3Vn2URjLqMczNgAY6eZPT6VCtnR52kYHJzzEfCrCGR4C6QAq8bggZ;1;0.00954654%
AMNa5B7cbjUdF4zIUZt2tIuYY64Z679we8H9zOlCMgL7lDj4dmtZb2k8DaZxXq0dxdao1s8cQTkUKSw3PifWuLHkSnuehlg5Y0kcl4R1tntPeDDzhVronA1pEtpc8Wa4vuixxk26zbciY3f5jYD19aPgrgnReGp2EZubx3O3vLgqp9FAA;1;0.00954654%
AMVvxrTaLJAYe1nljjAGSWYACsrqcq3F;1;0.00954654%
AMWIz9wFRYLolS91dKOUZILb;1;0.00954654%
AMaPH0aqriLU7i8vhGhOCdgK6eiQ7tND9f3OL26f;1;0.00954654%
AMk6m9vGf3Zd3OoIk5lUhYAcKCetKueMhLFyRyJbogCABMn4isMjS3ksaibJbqPIeZqw5EsjkBXA6nGa6selxQ;1;0.00954654%
AMnOaga;1;0.00954654%
AMpP;1;0.00954654%
AMsb;1;0.00954654%
AN2T91E3CnDBO;1;0.00954654%
AN5dI;1;0.00954654%
AN8zASoZFfICghcjPjkeVX2iytcaHZwyPGcgoCW73dBTGPh51VyW;1;0.00954654%
ANH3CglIDn30fSemvOr0;1;0.00954654%
ANH99ebrO3mvLyG0tI2mnmcRxooyzuxwAB5k17p4O0;1;0.00954654%
ANVMw6ZZSMQZ5cjycfuop9Vd0CmG5UYwQuw;1;0.00954654%
ANdT4FMcsargHI7vnjH76VLKszMpH65bbzOM9KeQqJ2MYYPyKyk;1;0.00954654%
ANpjGPCsD;1;0.00954654%
AOTn8RXl67AVvDevS0LpM9LQK8b;1;0.00954654%
